angle,url
"Femme (Lynda) qui offre pour son mari (Bob)",https://florian60430.github.io/infinity-landings-sol652/run-sol652-editeur/01-femme-lynda-qui-offre-pour-son-m/
"Message honnete du fondateur",https://florian60430.github.io/infinity-landings-sol652/run-sol652-editeur/01-message-honnete-du-fondateur/
